Sample,Timing Type,Environemnt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
resource_uptime_27,0,10w_6400kb,0.722,0.59,0.508,0.65,0.507,0.649,0.533,0.795,0.545,0.778,0.591,0.619,0.593,0.529,0.653,0.51,0.715,0.55,0.571,0.795,0.681,0.585,0.621,0.569,0.529,0.433,0.517,0.514,0.581,0.701
resource_uptime_27,1,10w_6400kb,63.932,59.055,56.849,62.117,57.605,63.135,55.566,60.807,59.73,61.637,60.617,56.568,70.392,60.966,68.384,65.467,64.42,69.02,61.342,62.674,63.067,58.728,56.735,55.709,68.594,68.122,53.218,54.589,55.6,56.264
resource_uptime_28,0,6w_10666kb,1.072,0.581,0.536,0.448,0.632,0.567,0.568,0.578,0.534,0.585,0.57,0.855,0.757,0.553,0.552,0.542,0.644,0.558,0.723,0.573,0.728,0.566,0.806,0.53,0.596,0.677,0.631,0.535,0.612,0.648
resource_uptime_28,1,6w_10666kb,64.127,56.956,56.597,59.089,61.043,56.589,55.866,57.232,59.933,58.912,60.229,60.624,60.159,58.386,58.222,56.485,63.782,66.958,63.123,58.872,62.3,60.031,59.526,61.324,61.138,65.389,62.414,63.23,64.186,65.502
resource_uptime_29,0,9w_7111kb,0.72,0.537,0.617,0.657,0.709,0.563,0.542,0.51,0.552,0.655,0.591,0.678,0.545,0.527,0.538,0.692,0.85,0.583,0.658,0.515,0.682,0.887,0.553,0.586,0.514,0.675,0.703,0.649,0.509,0.54
resource_uptime_29,1,9w_7111kb,73.671,54.349,62.323,57.591,63.435,70.55,55.207,66.531,56.96,65.651,55.176,60.226,63.917,68.975,64.154,63.893,58.151,56.305,58.03,56.288,56.595,62.249,58.723,59.013,56.904,59.811,58.722,60.222,60.044,56.296
resource_uptime_30,0,13w_4923kb,0.669,0.706,0.553,0.554,0.55,0.476,0.813,0.515,0.614,0.684,0.705,0.609,0.622,0.628,0.579,0.568,0.452,0.74,0.623,0.538,0.832,0.594,0.657,0.643,0.632,0.632,0.666,0.662,0.666,0.565
resource_uptime_30,1,13w_4923kb,63.524,59.383,56.824,58.194,56.418,68.023,57.607,57.533,56.069,59.394,55.599,58.155,57.84,58.471,60.059,56.468,66.274,58.681,56.922,53.621,61.725,57.247,55.618,61.95,61.375,57.929,61.725,55.504,56.778,57.59
resource_uptime_31,0,15w_4266kb,0.86,0.571,0.54,0.762,0.733,0.575,0.607,0.537,0.73,0.683,0.589,0.686,0.535,0.621,0.782,0.812,0.546,0.543,0.594,0.618,0.588,0.628,0.529,0.484,0.539,0.582,0.686,0.615,0.533,0.557
resource_uptime_31,1,15w_4266kb,68.797,58.981,62.129,63.965,69.214,63.55,62.586,70.693,69.121,70.485,67.461,67.143,59.094,59.172,60.026,60.795,57.994,60.01,63.955,62.179,71.246,70.439,61.25,60.477,57.501,63.633,60.709,63.594,68.905,68.732
